# image quality method bytes sha256
flatart_quadrant 90 0 2522 c54fc1add9d2b3036686ef3b57091650f9ebd744d1c18f92cd38005562ee0449
flatart_quadrant 90 4 2522 c54fc1add9d2b3036686ef3b57091650f9ebd744d1c18f92cd38005562ee0449
flatart_quadrant 90 6 2140 9c84c2422f3c58749ab9838c08bc49cb8145e414058a67af4e630d2f387c3a16
flatart_quadrant 100 0 3052 8e332473c18f04fe5ea5c74fddd3e30ca3ff7ac5bd958721d5b5e906917e987d
flatart_quadrant 100 4 3052 8e332473c18f04fe5ea5c74fddd3e30ca3ff7ac5bd958721d5b5e906917e987d
flatart_quadrant 100 6 2408 ff9935a4f084ec8fd69dfef51e33dfd1ef08e3dddbcd967e32e9992ecd68d14e
photo_gradient_wide 10 0 4054 b6dc992ed3056f070faf026783e8b15004976f85efb3431223b14926ab253826
photo_gradient_wide 10 4 4054 b6dc992ed3056f070faf026783e8b15004976f85efb3431223b14926ab253826
photo_gradient_wide 10 6 3576 3c9627f12e96617698c76cbe2638d4fba6c6dd7678d9a024ab4079c0a4e43147
photo_gradient_wide 50 0 10446 104978bc546801c2a254fd2168fca3a745eaf8d6920b3d58361978b14b62e826
photo_gradient_wide 50 4 10446 104978bc546801c2a254fd2168fca3a745eaf8d6920b3d58361978b14b62e826
photo_gradient_wide 50 6 8868 e0e4b99b602138ef1c67abc5cecba2be9f87cf804c9464bb82694503d336816f
photo_gradient_wide 75 0 21072 d31e950ed6c4d53104748d304080963a0c5df4cf6d5f2c2319c8edbe7b825609
photo_gradient_wide 75 4 21072 d31e950ed6c4d53104748d304080963a0c5df4cf6d5f2c2319c8edbe7b825609
photo_gradient_wide 75 6 15604 3a61e6f005130e140322b868b80d407a2aee3b7b426a1005f9fab12c53e644d2
photo_gradient_wide 90 0 211534 a682126cb840bed69bae222cf3718a4240599b51ab6298b2bcb2ef4ec72acb30
photo_gradient_wide 90 4 211534 a682126cb840bed69bae222cf3718a4240599b51ab6298b2bcb2ef4ec72acb30
photo_gradient_wide 90 6 26902 eb5b0832d690f9c1e7aaff312a8dd8450a601ef24de27100f59253dcdcafde2c
photo_gradient_wide 100 0 550414 68dd904229bcdd97e9efef03dea380104d49c75a9fbbcb426d253c2dff4fb5d5
photo_gradient_wide 100 4 550414 68dd904229bcdd97e9efef03dea380104d49c75a9fbbcb426d253c2dff4fb5d5
photo_gradient_wide 100 6 35278 9a0b4a691e2e8ac1c74b5f15ed2e73174097d56bd8ff705bd3d359ea4b0848b2
photo_noise_detail 10 0 4362 1ad4243662fd2df4bdb4851b5a3a5f505db572e759db2b161de23f89122bec34
photo_noise_detail 10 4 4362 1ad4243662fd2df4bdb4851b5a3a5f505db572e759db2b161de23f89122bec34
photo_noise_detail 10 6 3896 fff3bd068d2f5dd7c8b353135609b035d8b17dfc70f227812ea9b4a08e630d98
photo_noise_detail 50 0 11500 732926e86a59294017219a9bf0e04d70202d0a082d65b9d6723608a26ab9955b
photo_noise_detail 50 4 11500 732926e86a59294017219a9bf0e04d70202d0a082d65b9d6723608a26ab9955b
photo_noise_detail 50 6 9742 c6082e7f7091daaa9e5685ee23d3b4367c34d5903155a69d29ea48ca99cc2093
photo_noise_detail 75 0 23532 83a5e7d46c7936e2075aa71899fab7b513b1eb18c3ec7b129efde9e0cd608585
photo_noise_detail 75 4 23532 83a5e7d46c7936e2075aa71899fab7b513b1eb18c3ec7b129efde9e0cd608585
photo_noise_detail 75 6 17158 59d7f9ea0db15a179e4d44fe43be37fb22210dc17c141d52b2ac552fb0abd438
photo_noise_detail 90 0 225452 7addbf01b3ee3106a047c272cbba00dadc1e4d093f3032c818a4d4a3efe8c7b9
photo_noise_detail 90 4 225452 7addbf01b3ee3106a047c272cbba00dadc1e4d093f3032c818a4d4a3efe8c7b9
photo_noise_detail 90 6 28972 9f242d59d918008db46dc1f358f02dd182959ef0fc3f5d46bde64a81c7ef69c2
photo_noise_detail 100 0 587220 5074630d7c207b4a69c276f0b1ba9a4bccc9e49f219c2cd50b87afd43a8e8959
photo_noise_detail 100 4 587220 5074630d7c207b4a69c276f0b1ba9a4bccc9e49f219c2cd50b87afd43a8e8959
photo_noise_detail 100 6 38908 f96592f528929a364cf8e1c1fd8c8656689bb10057dcb57f2ff77f0c592edda6
photo_texture_detail 10 0 3564 39a4f9da98103b9f054542242134a9779f698b6cb575aba1b648ebf8d68bb03a
photo_texture_detail 10 4 3564 39a4f9da98103b9f054542242134a9779f698b6cb575aba1b648ebf8d68bb03a
photo_texture_detail 10 6 3138 5a46154c7ed95e378483524ff996b59cdebede467446cbd423bdd158f0e55a4b
photo_texture_detail 50 0 8986 2d42551d4f1458c7b7d8e7315cefa98197fbb680bff1481bd4cbd43c418422a6
photo_texture_detail 50 4 8986 2d42551d4f1458c7b7d8e7315cefa98197fbb680bff1481bd4cbd43c418422a6
photo_texture_detail 50 6 7674 729c0ce83ac02d9be162b7f3fae609edc7ab40b5d0d3ef38af5625101bc79591
photo_texture_detail 75 0 18270 eb79f42b5c8d1930a2fb444ca48fc1ef336e6d8a24a46afd1b83c45f5a5c2826
photo_texture_detail 75 4 18270 eb79f42b5c8d1930a2fb444ca48fc1ef336e6d8a24a46afd1b83c45f5a5c2826
photo_texture_detail 75 6 13460 d205e8ef682edc4f9d31f009cb3c5f1b4bfb729b9b095e180451c5abe988b261
photo_texture_detail 90 0 175780 1363ef0e06dc25dc1155a1477f6e3df70e8295e7906d3c982585638e3c5a7ec8
photo_texture_detail 90 4 175780 1363ef0e06dc25dc1155a1477f6e3df70e8295e7906d3c982585638e3c5a7ec8
photo_texture_detail 90 6 22362 9d0d746880c56ccb196ec5db24de1305e33bfd179c8c7af52a3ec4e6a9c58007
photo_texture_detail 100 0 455680 c226cffe44b69f4b11fd5c2d4d015cabd7e9cf99d3c5fdab0392ee1f753d4b1d
photo_texture_detail 100 4 455680 c226cffe44b69f4b11fd5c2d4d015cabd7e9cf99d3c5fdab0392ee1f753d4b1d
photo_texture_detail 100 6 29276 1f5486fb72b176157a8be33b352bcf7fe947b45a0a754a9966091319ef777f33
screenshot_dashboard 10 0 3660 92be6fb4e3d5e9667f12e64f50e748afd19f216ae6e54a2c428edbd2a60f658f
screenshot_dashboard 10 4 3660 92be6fb4e3d5e9667f12e64f50e748afd19f216ae6e54a2c428edbd2a60f658f
screenshot_dashboard 10 6 2336 e0f13a40b3e4eac02f0579b138c3689c0e47cba274b58730320a64734ff5af23
screenshot_dashboard 50 0 5956 355adb254c9102a77b351e9f21115e9c8aa4718352e24e3babde08e53aaa8e65
screenshot_dashboard 50 4 5956 355adb254c9102a77b351e9f21115e9c8aa4718352e24e3babde08e53aaa8e65
screenshot_dashboard 50 6 2858 7e31538455e9befbda5984ba699e870b9d1b98f094c35fec02fb489de089ca11
screenshot_dashboard 75 0 6534 b9df4d32542707e666a3d170d988ee5f2c0db0957feab0fce89a51493f795084
screenshot_dashboard 75 4 6534 b9df4d32542707e666a3d170d988ee5f2c0db0957feab0fce89a51493f795084
screenshot_dashboard 75 6 3072 5333e4e5b21a49f0f0042c224789ca028041d31f9853b98495a2ea20033e9b9d
screenshot_dashboard 90 0 9668 a68e25b771ef71e154d54b5151579f581dcd0eb00f082403d36932d80aded8cb
screenshot_dashboard 90 4 9668 a68e25b771ef71e154d54b5151579f581dcd0eb00f082403d36932d80aded8cb
screenshot_dashboard 90 6 4024 6fb9be98c2a27c64bcc3828fc82b9eab856b3ce14efb3827a86e871a2b5b77e0
screenshot_dashboard 100 0 13772 997f6654027758d9a50b4a6d35b28f8c1e453933978c13f341e487c8195ff326
screenshot_dashboard 100 4 13772 997f6654027758d9a50b4a6d35b28f8c1e453933978c13f341e487c8195ff326
screenshot_dashboard 100 6 5646 4ae729dcadd8b95bd36a8b1db0f4bd1beb1931e1669f643e105f1c36b1f7e7f4
screenshot_panel_grid 10 0 5068 6bcf5a8aac11e726196a5783c3f9a9f30fed8780370a9ac6fd4fefbd4eff6712
screenshot_panel_grid 10 4 5068 6bcf5a8aac11e726196a5783c3f9a9f30fed8780370a9ac6fd4fefbd4eff6712
screenshot_panel_grid 10 6 2938 24af60249a6d1bd115574520f9686e7684b56580882b78dd1291efd48d40b4ba
screenshot_panel_grid 50 0 10572 d7d18dd47681a3bf955a1dba3cdfbb319f7cbafb3bfeb00d12835fb0c96ad648
